human,hydra,type
FADD,t35898aep,one_one
FADD,t37168aep,one_one
FADD,t31093aep,one_one
FADD,t15130aep,one_one
FADD,t33875aep,one_one
FADD,t32031aep,one_one
PCDH18,t32775aep,many_one
PCDH8,t32775aep,many_one
PCDH12,t32775aep,many_one
PCDH10,t32775aep,many_one
PCDH17,t32775aep,many_one
PCDH19,t32775aep,many_one
PCDHAC2,t32775aep,many_one
PCDHAC1,t32775aep,many_one
PCDHA5,t32775aep,many_one
PCDHA13,t32775aep,many_one
PCDHA12,t32775aep,many_one
PCDHA10,t32775aep,many_one
PCDHA11,t32775aep,many_one
PCDHA2,t32775aep,many_one
PCDHA1,t32775aep,many_one
PCDHA9,t32775aep,many_one
PCDHA7,t32775aep,many_one
PCDHA4,t32775aep,many_one
PCDHA3,t32775aep,many_one
PCDHA6,t32775aep,many_one
PCDHA8,t32775aep,many_one
PCDHGA7,t32775aep,many_one
PCDHGA3,t32775aep,many_one
PCDHGA2,t32775aep,many_one
PCDHGA12,t32775aep,many_one
PCDHGB1,t32775aep,many_one
PCDHGB2,t32775aep,many_one
PCDHGB3,t32775aep,many_one
PCDHGB4,t32775aep,many_one
PCDHGB5,t32775aep,many_one
PCDHGB7,t32775aep,many_one
PCDHGB6,t32775aep,many_one
PCDHGC3,t32775aep,many_one
PCDHGC4,t32775aep,many_one
PCDHGC5,t32775aep,many_one
PCDHGA11,t32775aep,many_one
PCDHGA8,t32775aep,many_one
PCDHGA9,t32775aep,many_one
PCDHGA10,t32775aep,many_one
PCDHGA5,t32775aep,many_one
PCDHGA6,t32775aep,many_one
PCDHGA4,t32775aep,many_one
PCDHGA1,t32775aep,many_one
PCDHB15,t32775aep,many_one
PCDHB1,t32775aep,many_one
PCDHB2,t32775aep,many_one
PCDHB3,t32775aep,many_one
PCDHB7,t32775aep,many_one
PCDHB10,t32775aep,many_one
PCDHB9,t32775aep,many_one
PCDHB14,t32775aep,many_one
PCDHB18P,t32775aep,many_one
PCDHB12,t32775aep,many_one
PCDHB11,t32775aep,many_one
PCDHB4,t32775aep,many_one
PCDHB6,t32775aep,many_one
PCDHB5,t32775aep,many_one
PCDHB16,t32775aep,many_one
PCDHB8,t32775aep,many_one
PCDHB13,t32775aep,many_one
CCBE1,t33252aep,one_one
CCBE1,t33990aep,one_one
CCBE1,t25138aep,one_one
CCBE1,t37696aep,one_one
CCBE1,t33748aep,one_one
CCBE1,t11139aep,one_one
