Human_id,Species_id,Type
OR10R2,KH2012:KH.C7.62,many_many
OR10Z1,KH2012:KH.C7.62,many_many
OR10Q1,KH2012:KH.C7.62,many_many
OR10V1,KH2012:KH.C7.62,many_many
OR10J5,KH2012:KH.C7.62,many_many
OR5AU1,KH2012:KH.C7.62,many_many
OR5AP2,KH2012:KH.C7.62,many_many
OR2A25,KH2012:KH.C7.62,many_many
OR2A14,KH2012:KH.C7.62,many_many
OR2V1,KH2012:KH.C7.62,many_many
OR2M5,KH2012:KH.C7.62,many_many
OR2M7,KH2012:KH.C7.62,many_many
OR2M3,KH2012:KH.C7.62,many_many
OR2M2,KH2012:KH.C7.62,many_many
OR2M4,KH2012:KH.C7.62,many_many
OR2T12,KH2012:KH.C7.62,many_many
OR2T33,KH2012:KH.C7.62,many_many
OR2T8,KH2012:KH.C7.62,many_many
OR2L2,KH2012:KH.C7.62,many_many
OR2L5,KH2012:KH.C7.62,many_many
OR2L8,KH2012:KH.C7.62,many_many
OR2L3,KH2012:KH.C7.62,many_many
OR2AJ1,KH2012:KH.C7.62,many_many
OR2T1,KH2012:KH.C7.62,many_many
OR2T7,KH2012:KH.C7.62,many_many
OR2T27,KH2012:KH.C7.62,many_many
OR2T2,KH2012:KH.C7.62,many_many
OR2T35,KH2012:KH.C7.62,many_many
OR2T11,KH2012:KH.C7.62,many_many
OR2D2,KH2012:KH.C7.62,many_many
OR2D3,KH2012:KH.C7.62,many_many
OR13C3,KH2012:KH.C7.62,many_many
OR13C4,KH2012:KH.C7.62,many_many
OR13C2,KH2012:KH.C7.62,many_many
OR2K2,KH2012:KH.C7.62,many_many
OR13F1,KH2012:KH.C7.62,many_many
OR13H1,KH2012:KH.C7.62,many_many
OR2J1,KH2012:KH.C7.62,many_many
OR2J2,KH2012:KH.C7.62,many_many
OR2J3,KH2012:KH.C7.62,many_many
OR2G3,KH2012:KH.C7.62,many_many
OR2G2,KH2012:KH.C7.62,many_many
OR2G6,KH2012:KH.C7.62,many_many
OR2Y1,KH2012:KH.C7.62,many_many
OR2W1,KH2012:KH.C7.62,many_many
OR2W3,KH2012:KH.C7.62,many_many
OR2B3,KH2012:KH.C7.62,many_many
OR2B6,KH2012:KH.C7.62,many_many
OR2B2,KH2012:KH.C7.62,many_many
OR2B11,KH2012:KH.C7.62,many_many
OR2F1,KH2012:KH.C7.62,many_many
OR2F2,KH2012:KH.C7.62,many_many
OR10A3,KH2012:KH.C7.62,many_many
OR10A6,KH2012:KH.C7.62,many_many
OR10A7,KH2012:KH.C7.62,many_many
OR5J2,KH2012:KH.C7.62,many_many
OR8H1,KH2012:KH.C7.62,many_many
OR8H3,KH2012:KH.C7.62,many_many
OR8H2,KH2012:KH.C7.62,many_many
OR8I2,KH2012:KH.C7.62,many_many
OR5F1,KH2012:KH.C7.62,many_many
OR9I1,KH2012:KH.C7.62,many_many
OR9Q2,KH2012:KH.C7.62,many_many
OR9Q1,KH2012:KH.C7.62,many_many
OR5B12,KH2012:KH.C7.62,many_many
OR5B3,KH2012:KH.C7.62,many_many
OR5B2,KH2012:KH.C7.62,many_many
OR5B17,KH2012:KH.C7.62,many_many
OR5B21,KH2012:KH.C7.62,many_many
OR5AK2,KH2012:KH.C7.62,many_many
OR5H15,KH2012:KH.C7.62,many_many
OR5H1,KH2012:KH.C7.62,many_many
OR5H14,KH2012:KH.C7.62,many_many
OR5H6,KH2012:KH.C7.62,many_many
OR5H2,KH2012:KH.C7.62,many_many
OR5AC2,KH2012:KH.C7.62,many_many
OR5K3,KH2012:KH.C7.62,many_many
OR5K4,KH2012:KH.C7.62,many_many
OR5K2,KH2012:KH.C7.62,many_many
OR5K1,KH2012:KH.C7.62,many_many
OR5T3,KH2012:KH.C7.62,many_many
OR5T1,KH2012:KH.C7.62,many_many
OR5T2,KH2012:KH.C7.62,many_many
OR5C1,KH2012:KH.C7.62,many_many
OR5W2,KH2012:KH.C7.62,many_many
OR5AR1,KH2012:KH.C7.62,many_many
OR5AS1,KH2012:KH.C7.62,many_many
OR5I1,KH2012:KH.C7.62,many_many
OR9G4,KH2012:KH.C7.62,many_many
OR9G1,KH2012:KH.C7.62,many_many
OR9G9,KH2012:KH.C7.62,many_many
OR9K2,KH2012:KH.C7.62,many_many
OR9H1P,KH2012:KH.C7.62,many_many
OR5P3,KH2012:KH.C7.62,many_many
OR5P2,KH2012:KH.C7.62,many_many
OR8K1,KH2012:KH.C7.62,many_many
OR8K3,KH2012:KH.C7.62,many_many
OR8K5,KH2012:KH.C7.62,many_many
OR8J3,KH2012:KH.C7.62,many_many
OR8J1,KH2012:KH.C7.62,many_many
OR8J2,KH2012:KH.C7.62,many_many
OR8U1,KH2012:KH.C7.62,many_many
OR8U8,KH2012:KH.C7.62,many_many
OR5R1,KH2012:KH.C7.62,many_many
OR5M1,KH2012:KH.C7.62,many_many
OR5M10,KH2012:KH.C7.62,many_many
OR5M11,KH2012:KH.C7.62,many_many
OR5M8,KH2012:KH.C7.62,many_many
OR5M9,KH2012:KH.C7.62,many_many
AP002512.3,KH2012:KH.C7.62,many_many
OR5M3,KH2012:KH.C7.62,many_many
OR8D4,KH2012:KH.C7.62,many_many
OR8A1,KH2012:KH.C7.62,many_many
OR8G1,KH2012:KH.C7.62,many_many
OR8G5,KH2012:KH.C7.62,many_many
OR8B4,KH2012:KH.C7.62,many_many
OR8B2,KH2012:KH.C7.62,many_many
OR8B3,KH2012:KH.C7.62,many_many
OR8B12,KH2012:KH.C7.62,many_many
OR8B8,KH2012:KH.C7.62,many_many
OR8D1,KH2012:KH.C7.62,many_many
OR8D2,KH2012:KH.C7.62,many_many
OR5D14,KH2012:KH.C7.62,many_many
OR5D16,KH2012:KH.C7.62,many_many
OR5D18,KH2012:KH.C7.62,many_many
OR5D13,KH2012:KH.C7.62,many_many
OR5D3P,KH2012:KH.C7.62,many_many
OR5L1,KH2012:KH.C7.62,many_many
OR5L2,KH2012:KH.C7.62,many_many
OR5A1,KH2012:KH.C7.62,many_many
OR5A2,KH2012:KH.C7.62,many_many
OR5AN1,KH2012:KH.C7.62,many_many
OR5V1,KH2012:KH.C7.62,many_many
OR12D2,KH2012:KH.C7.62,many_many
OR12D3,KH2012:KH.C7.62,many_many
OR4M1,KH2012:KH.C7.62,many_many
OR4D9,KH2012:KH.C7.62,many_many
OR4D5,KH2012:KH.C7.62,many_many
OR4C11,KH2012:KH.C7.62,many_many
OR4A15,KH2012:KH.C7.62,many_many
OR4C15,KH2012:KH.C7.62,many_many
OR4B1,KH2012:KH.C7.62,many_many
OR4S2,KH2012:KH.C7.62,many_many
