Human_id,Species_id,Type
MT-ND1,mt-Nd1,ortholog_one2one
MT-ND2,mt-Nd2,ortholog_one2one
MT-CO1,mt-Co1,ortholog_one2one
MT-CO2,mt-Co2,ortholog_one2one
MT-ATP8,mt-Atp8,ortholog_one2one
MT-ATP6,mt-Atp6,ortholog_one2one
MT-CO3,mt-Co3,ortholog_one2one
MT-ND3,mt-Nd3,ortholog_one2one
MT-ND4L,mt-Nd4l,ortholog_one2one
MT-ND4,mt-Nd4,ortholog_one2one
MT-ND5,mt-Nd5,ortholog_one2one
MT-ND6,mt-Nd6,ortholog_one2one
MT-CYB,mt-Cytb,ortholog_one2one
5S_rRNA,5S_rRNA,ortholog_many2many
5S_rRNA,5S_rRNA,ortholog_many2many
5_8S_rRNA,5_8S_rRNA,ortholog_many2many
5_8S_rRNA,5_8S_rRNA,ortholog_many2many
U1,Gm23738,ortholog_one2many
USP9Y,Usp9y,ortholog_one2one
TBL1Y,Tbl1x,ortholog_one2many
RBMY1E,Gm21708,ortholog_many2many
RBMY1E,Gm21704,ortholog_many2many
RBMY1E,Rbmy,ortholog_many2many
RBMY1E,Gm3376,ortholog_many2many
RBMY1E,Gm10352,ortholog_many2many
RBMY1E,Gm21693,ortholog_many2many
RBMY1E,Gm29289,ortholog_many2many
RBMY1E,Gm4064,ortholog_many2many
RBMY1E,Gm21677,ortholog_many2many
RBMY1E,Gm10256,ortholog_many2many
DAZ2,Dazl,ortholog_one2many
RBMY1A1,Gm21708,ortholog_many2many
RBMY1A1,Gm21704,ortholog_many2many
RBMY1A1,Rbmy,ortholog_many2many
RBMY1A1,Gm3376,ortholog_many2many
RBMY1A1,Gm10352,ortholog_many2many
RBMY1A1,Gm21693,ortholog_many2many
RBMY1A1,Gm29289,ortholog_many2many
RBMY1A1,Gm4064,ortholog_many2many
RBMY1A1,Gm21677,ortholog_many2many
RBMY1A1,Gm10256,ortholog_many2many
PCDH11Y,Pcdh11x,ortholog_one2many
RBMY1J,Gm21708,ortholog_many2many
RBMY1J,Gm21704,ortholog_many2many
RBMY1J,Rbmy,ortholog_many2many
RBMY1J,Gm3376,ortholog_many2many
RBMY1J,Gm10352,ortholog_many2many
RBMY1J,Gm21693,ortholog_many2many
RBMY1J,Gm29289,ortholog_many2many
RBMY1J,Gm4064,ortholog_many2many
RBMY1J,Gm21677,ortholog_many2many
RBMY1J,Gm10256,ortholog_many2many
RBMY1B,Gm21708,ortholog_many2many
RBMY1B,Gm21704,ortholog_many2many
RBMY1B,Rbmy,ortholog_many2many
RBMY1B,Gm3376,ortholog_many2many
RBMY1B,Gm10352,ortholog_many2many
RBMY1B,Gm21693,ortholog_many2many
RBMY1B,Gm29289,ortholog_many2many
RBMY1B,Gm4064,ortholog_many2many
RBMY1B,Gm21677,ortholog_many2many
RBMY1B,Gm10256,ortholog_many2many
RBMY1D,Gm21708,ortholog_many2many
RBMY1D,Gm21704,ortholog_many2many
RBMY1D,Rbmy,ortholog_many2many
RBMY1D,Gm3376,ortholog_many2many
RBMY1D,Gm10352,ortholog_many2many
RBMY1D,Gm21693,ortholog_many2many
RBMY1D,Gm29289,ortholog_many2many
RBMY1D,Gm4064,ortholog_many2many
RBMY1D,Gm21677,ortholog_many2many
RBMY1D,Gm10256,ortholog_many2many
HSFY2,Hsfy2,ortholog_one2many
KDM5D,Kdm5d,ortholog_one2one
HSFY1,Hsfy2,ortholog_one2many
TGIF2LY,Tgif2lx1,ortholog_many2many
TGIF2LY,Tgif2lx2,ortholog_many2many
RBMY1F,Gm21708,ortholog_many2many
RBMY1F,Gm21704,ortholog_many2many
RBMY1F,Rbmy,ortholog_many2many
RBMY1F,Gm3376,ortholog_many2many
RBMY1F,Gm10352,ortholog_many2many
RBMY1F,Gm21693,ortholog_many2many
RBMY1F,Gm29289,ortholog_many2many
RBMY1F,Gm4064,ortholog_many2many
RBMY1F,Gm21677,ortholog_many2many
RBMY1F,Gm10256,ortholog_many2many
RN7SKP282,7SK,ortholog_many2many
RN7SKP282,7SK,ortholog_many2many
DAZ4,Dazl,ortholog_one2many
DAZ1,Dazl,ortholog_one2many
DAZ3,Dazl,ortholog_one2many
SRY,Sry,ortholog_one2one
DDX3Y,Ddx3y,ortholog_one2one
UTY,Uty,ortholog_one2one
TMSB4Y,Tmsb4x,ortholog_one2one
C1QTNF9,C1qtnf9,ortholog_one2many
PARP4,Parp4,ortholog_one2one
MIPEP,Mipep,ortholog_one2one
RNF17,Rnf17,ortholog_one2one
SAP18,Sap18,ortholog_one2many
SAP18,Sap18b,ortholog_one2many
LNX2,Lnx2,ortholog_one2one
MICU2,Micu2,ortholog_one2one
POMP,Pomp,ortholog_one2one
KATNAL1,Katnal1,ortholog_one2one
TMPRSS15,Tmprss15,ortholog_one2one
MPHOSPH8,Mphosph8,ortholog_one2one
SKA3,Ska3,ortholog_one2one
UBE2L5,Ube2l3,ortholog_one2many
CCNA1,Ccna1,ortholog_one2one
FGF9,Fgf9,ortholog_one2one
USPL1,Uspl1,ortholog_one2one
URAD,Ttr,ortholog_one2many
URAD,Urah,ortholog_one2many
HMGB1,Hmgb1,ortholog_one2one
SOHLH2,Sohlh2,ortholog_one2many
PDX1,Pdx1,ortholog_one2one
HSPH1,Hsph1,ortholog_one2one
GATD3B,Gatd3a,ortholog_one2many
NUFIP1,Nufip1,ortholog_one2one
FAM243B,Fam243,ortholog_one2many
CXADR,Gm1123,ortholog_one2many
KPNA3,Kpna3,ortholog_one2one
SIK1B,Sik1,ortholog_one2many
CRYL1,Cryl1,ortholog_one2one
RWDD2B,Rwdd2b,ortholog_one2one
CDX2,Cdx2,ortholog_one2one
PAN3,Pan3,ortholog_one2one
CAB39L,Cab39l,ortholog_one2one
COLEC12,Colec12,ortholog_one2one
TXNDC2,Txndc2,ortholog_one2one
CHMP1B,Chmp1b,ortholog_one2one
IMPA2,Impa2,ortholog_one2one
SLC25A15,Slc25a15,ortholog_one2one
DNAJC15,Dnajc15,ortholog_one2one
GPR12,Gpr12,ortholog_one2one
GTF2F2,Gtf2f2,ortholog_one2one
KRTAP8-1,Krtap8-1,ortholog_one2one
URB1,Urb1,ortholog_one2one
WASF3,Wasf3,ortholog_one2one
JAM2,Jam2,ortholog_one2one
POSTN,Postn,ortholog_one2one
USP16,Usp16,ortholog_one2one
THOC1,Thoc1,ortholog_one2one
CLDN17,Cldn17,ortholog_one2one
CYYR1,Cyyr1,ortholog_one2one
DONSON,Donson,ortholog_one2many
DONSON,Atp5o,ortholog_one2many
KRTAP13-4,Krtap13-1,ortholog_one2many
MRPS6,Mrps6,ortholog_one2one
MTCL1,Mtcl1,ortholog_one2one
KRTAP24-1,Krtap24-1,ortholog_one2one
ENOX1,Enox1,ortholog_one2one
SERP2,Serp2,ortholog_one2one
CETN1,Cetn1,ortholog_one2one
ADCYAP1,Adcyap1,ortholog_one2one
GART,Gart,ortholog_one2one
FNDC3A,Fndc3a,ortholog_one2one
METTL4,Mettl4,ortholog_one2one
RAB31,Rab31,ortholog_one2one
SETDB2,Setdb2,ortholog_one2one
CCDC169-SOHLH2,Sohlh2,ortholog_one2many
OSBPL1A,Osbpl1a,ortholog_one2one
LHFPL6,Lhfp,ortholog_one2one
LACC1,Lacc1,ortholog_one2many
C13orf42,Gm4131,ortholog_one2one
PHF11,Phf11b,ortholog_one2many
PHF11,Phf11c,ortholog_one2many
PHF11,Phf11a,ortholog_one2many
PHF11,Phf11d,ortholog_one2many
SLC5A3,Slc5a3,ortholog_one2one
KRTAP15-1,Krtap15,ortholog_one2one
CHAF1B,Chaf1b,ortholog_one2one
SCAF4,Scaf4,ortholog_one2one
AKAP11,Akap11,ortholog_one2one
MZT1,Mzt1,ortholog_one2one
