Human_id,Species_id,Type
NDRG4,dd_Smed_v6_2911_0,one_many
NDRG4,dd_Smed_v6_11017_0,one_many
NDRG4,dd_Smed_v6_1414_0,one_many
NDRG4,dd_Smed_v6_4133_0,many_many
NDRG1,dd_Smed_v6_4133_0,many_many
NDRG3,dd_Smed_v6_4133_0,many_many
NDRG2,dd_Smed_v6_4133_0,many_many
NDRG4,dd_Smed_v6_1911_0,many_many
NDRG1,dd_Smed_v6_1911_0,many_many
NDRG3,dd_Smed_v6_1911_0,many_many
NDRG2,dd_Smed_v6_1911_0,many_many
CCHCR1,dd_Smed_v6_16376_0,one_one
OR52E1,dd_Smed_v6_63969_0,many_many
OR52E2,dd_Smed_v6_63969_0,many_many
OR52E4,dd_Smed_v6_63969_0,many_many
OR52E5,dd_Smed_v6_63969_0,many_many
OR52E6,dd_Smed_v6_63969_0,many_many
OR52E8,dd_Smed_v6_63969_0,many_many
OR52J3,dd_Smed_v6_63969_0,many_many
OR52H1,dd_Smed_v6_63969_0,many_many
OR52B2,dd_Smed_v6_63969_0,many_many
OR52B6,dd_Smed_v6_63969_0,many_many
OR52B4,dd_Smed_v6_63969_0,many_many
OR52D1,dd_Smed_v6_63969_0,many_many
OR51G2,dd_Smed_v6_63969_0,many_many
OR51L1,dd_Smed_v6_63969_0,many_many
OR51S1,dd_Smed_v6_63969_0,many_many
OR51Q1,dd_Smed_v6_63969_0,many_many
OR51A7,dd_Smed_v6_63969_0,many_many
OR51A4,dd_Smed_v6_63969_0,many_many
OR51A2,dd_Smed_v6_63969_0,many_many
OR51M1,dd_Smed_v6_63969_0,many_many
OR51V1,dd_Smed_v6_63969_0,many_many
OR51B2,dd_Smed_v6_63969_0,many_many
OR51B4,dd_Smed_v6_63969_0,many_many
OR51B6,dd_Smed_v6_63969_0,many_many
OR51B5,dd_Smed_v6_63969_0,many_many
OR51G1,dd_Smed_v6_63969_0,many_many
OR51I1,dd_Smed_v6_63969_0,many_many
OR51I2,dd_Smed_v6_63969_0,many_many
OR51F1,dd_Smed_v6_63969_0,many_many
OR51F2,dd_Smed_v6_63969_0,many_many
OR51T1,dd_Smed_v6_63969_0,many_many
OR51D1,dd_Smed_v6_63969_0,many_many
OR51E1,dd_Smed_v6_63969_0,many_many
OR51E2,dd_Smed_v6_63969_0,many_many
OR52K1,dd_Smed_v6_63969_0,many_many
OR52K2,dd_Smed_v6_63969_0,many_many
OR52M1,dd_Smed_v6_63969_0,many_many
OR56B1,dd_Smed_v6_63969_0,many_many
OR56B4,dd_Smed_v6_63969_0,many_many
OR52I1,dd_Smed_v6_63969_0,many_many
OR52N4,dd_Smed_v6_63969_0,many_many
OR52N2,dd_Smed_v6_63969_0,many_many
OR52N1,dd_Smed_v6_63969_0,many_many
OR52N5,dd_Smed_v6_63969_0,many_many
OR52A5,dd_Smed_v6_63969_0,many_many
OR52A1,dd_Smed_v6_63969_0,many_many
OR52L1,dd_Smed_v6_63969_0,many_many
OR52R1,dd_Smed_v6_63969_0,many_many
OR52E1,dd_Smed_v6_13372_0,many_many
OR52E2,dd_Smed_v6_13372_0,many_many
OR52E4,dd_Smed_v6_13372_0,many_many
OR52E5,dd_Smed_v6_13372_0,many_many
OR52E6,dd_Smed_v6_13372_0,many_many
OR52E8,dd_Smed_v6_13372_0,many_many
OR52J3,dd_Smed_v6_13372_0,many_many
OR52H1,dd_Smed_v6_13372_0,many_many
OR52B2,dd_Smed_v6_13372_0,many_many
OR52B6,dd_Smed_v6_13372_0,many_many
OR52B4,dd_Smed_v6_13372_0,many_many
OR52D1,dd_Smed_v6_13372_0,many_many
OR51G2,dd_Smed_v6_13372_0,many_many
OR51L1,dd_Smed_v6_13372_0,many_many
OR51S1,dd_Smed_v6_13372_0,many_many
OR51Q1,dd_Smed_v6_13372_0,many_many
OR51A7,dd_Smed_v6_13372_0,many_many
OR51A4,dd_Smed_v6_13372_0,many_many
OR51A2,dd_Smed_v6_13372_0,many_many
OR51M1,dd_Smed_v6_13372_0,many_many
